"geographicAreaM49","timePointYears","aquaEnergyDemand","aquaProteinDemand"
68,"2007",5551323.4,140.38998
68,"2008",6850750.90698881,175.030632756491
68,"2009",9710839.35257759,251.669919711688
68,"2010",11003562.5,285.79725
68,"2011",12445918.1382448,322.587013883427
68,"2012",13761080.3600134,356.569134937577
68,"2013",11564848.6648703,292.562639854212
70,"1990",0,0
70,"1991",0,0
70,"1992",0,0
70,"1993",0,0
70,"1994",0,0
70,"1995",0,0
70,"1996",0,0
70,"1997",0,0
70,"1998",0,0
70,"1999",0,0
70,"2000",0,0
70,"2001",0,0
70,"2002",77742958,1901.5581
70,"2003",115332596,2888.5807
70,"2004",109206361.6,2704.17872
70,"2005",119777536,2970.049
70,"2006",129102707,3186.796
70,"2007",125218854,3099.8112
70,"2008",129994564.734882,3201.58970212422
70,"2009",130095500.036087,3193.27022182479
70,"2010",130072965,3206.46595
70,"2011",88778243.3346686,2221.48374694671
70,"2012",66449590.5230875,1732.38957230249
70,"2013",54695806.0435244,1434.46278491388
76,"1990",32539897.8315645,982.659307236392
76,"1991",56962848.8698871,1636.32157873031
76,"1992",72937292.3046143,2047.46670327466
76,"1993",80701906.8406238,2233.93756341302
76,"1994",88201456.947461,2409.93973266747
76,"1995",436212793.8,11130.4193
76,"1996",643155328,16314.1214
76,"1997",906393063.5,21515.58835
76,"1998",1019631906.4,25972.12455
76,"1999",1444495879.4,36491.30035
76,"2000",1808979141.3,46252.58315
76,"2001",2130037610.2,55771.49894
76,"2002",2859604590.1,77347.60483
76,"2003",3323879442.9,92796.6217
76,"2004",3150350757.8,88071.4637
76,"2005",2916408799.7,81305.70945
76,"2006",3090853794.1,85953.57342
76,"2007",3356433654.15845,95377.1254416747
76,"2008",4328869837.06802,119234.42875632
76,"2009",4915630142.52412,134669.459932457
76,"2010",5617554097.18115,153957.969880317
76,"2011",4868876794.58733,140862.198300194
76,"2012",5371764939.30086,155206.120538874
76,"2013",5117073000.97355,146739.017915098
96,"1990",59319.1174765698,1.45319875303444
96,"1991",4246.30413007323,0.0871036744630406
96,"1992",324775.309236619,7.60626307797541
96,"1993",625185.966101459,14.5690590270436
96,"1994",1197959.73941149,27.5565028389042
96,"1995",1868060,44.632
96,"1996",2279970,57.06
96,"1997",3258356,86.3956
96,"1998",3778502,100.3546
96,"1999",3501325,90.4249
96,"2000",2582945,66.6025
96,"2001",1921708,47.8749
96,"2002",2960125.3,78.49222
96,"2003",3055099.6,81.00632
96,"2004",16817224,474.87504
96,"2005",11842315.6,343.2984
96,"2006",12186606.7,354.12697
96,"2007",16298762.7,479.22318
96,"2008",12401132.9726347,365.038809528316
96,"2009",11250114.8306145,323.103457712673
96,"2010",12528755.72,347.208246
96,"2011",13312840.8340079,365.612311941314
96,"2012",13825424.6598639,372.931490131431
96,"2013",20819920.651177,565.70792424692
100,"1990",40868828.3908643,954.533786443857
100,"1991",47134731.9156773,1078.3656628386
100,"1992",56169556.5974489,1269.23888240456
100,"1993",60573886.6661517,1353.69707105781
100,"1994",53646485.9852371,1207.65464170701
100,"1995",38200500,883.1
100,"1996",45581250,1024.55
100,"1997",59394800,1324.08
100,"1998",52633782,1142.1909
100,"1999",109932084,2158.0002
100,"2000",42788750,925.4055
100,"2001",40525286.4,943.63098
100,"2002",28730504.4,589.08928
100,"2003",40879710.2,857.80519
100,"2004",39187079.2,960.32224
100,"2005",45784282,1078.5348
100,"2006",49751583.2,1223.65154
100,"2007",59571853.6,1434.65672
100,"2008",72552699.1716191,1713.28847182929
100,"2009",94158118.8044336,2227.92099164671
100,"2010",112675409.285,2693.11251925
100,"2011",73732922.9813382,1707.55448404792
100,"2012",80882915.5643038,1943.94844380681
100,"2013",157577680.909029,3629.69407791703
104,"1990",24075248.6931558,430.087025437403
104,"1991",39157251.2121684,698.754964674559
104,"1992",140753396.628116,2504.20153510145
104,"1993",328335330.852638,5841.54883112055
104,"1994",466837107.971242,8309.82178990355
104,"1995",488663790,9041.862
104,"1996",613142600,11455.24
104,"1997",842324492,15640.838
104,"1998",970278544,18019.688
104,"1999",1143274928,21942.7664
104,"2000",1269154808,24231.7208
104,"2001",1280095205.8,25180.16834
104,"2002",2002317947.4,42435.12752
104,"2003",3543461074.5,74099.1383
104,"2004",5681228560,118242.022
104,"2005",6943783476,148670.01
104,"2006",8182053632.4,172348.3576
104,"2007",8363456996.1,176057.7521
104,"2008",10165048595.5434,211739.61313882
104,"2009",11289859339.1941,232612.999833102
104,"2010",11954148712.05,244565.94945
104,"2011",12357973016.7744,254012.946066883
104,"2012",13391295549.9188,274391.977288923
104,"2013",14013852319.8364,285552.542199941
112,"1990",54413812.1174311,1119.00273333546
112,"1991",62837389.0134689,1290.59743753358
112,"1992",39053227.6754713,802.724670266077
112,"1993",37963487.3003701,780.94127795631
112,"1994",43521192.5796235,895.249899069199
112,"1995",30482800,628.32
