"Land Area","Ocean Area","Environment","Species","Scientific name","1990","S_1990","1991","S_1991","1992","S_1992","1993","S_1993","1994","S_1994","1995","S_1995","1996","S_1996","1997","S_1997","1998","S_1998","1999","S_1999","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Austria","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","1050","","1030","","1110","","1030","","990","","860","","810","","611","","606","","663","","662","","421","","332","","362","","331","","344","","471","","498","","489","","472","","526","","840.3","","915.5","","979","","993.1","","1117.5",""
"Azerbaijan","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","131","","89","","89","","304",""
"Azerbaijan","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","1216","","2146","","1690","","1201","","1038","","516","","419","","364","","211","","216","","140","","95","","80","","130","F","342","","495","F","597","F","900","F","999","F","999","F","999","F","514","F","232","","236","","216","","257",""
"Azerbaijan","Inland waters","Freshwater","Marine fishes","Marine fishes","0","-","30","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","8","","5","","3","","0","-","1","","1","","1","","3","","3.1","","0","-","0",".","0","."
"Bahamas","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","43","","4","","5","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0",".","0","."
"Bahamas","Marine areas","Brackishwater","Crustaceans","Crustaceans","3","","2","","5","","8","","4","","24","","1","","1","F","1","F","1","F","2","F","13","","25","F","42","","7","","48","F","0","-","0","-","0","-","2","","0","-","0","-","0","-","0","-","0",".","0","."
"Bahamas","Marine areas","Marine","Crustaceans","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","8.35","","8.33",""
"Bahamas","Marine areas","Marine","Marine fishes","Marine fishes","3","","0","0","0","0","0","0","0","0","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","10","F","23","F","37","F","52","F","30","F","20","","15","F","0","-","0","-","0","-","0","-","0",".","0","."
"Bahrain","Marine areas","Marine","Marine fishes","Marine fishes","0","-","0","-","0","-","0","-","0","-","4","","3","","0","0","1","","3","","12","","0","0","3","","4","","8","","3","","2","","1","","2","","2","","3.187","","3.424","","1.725","","0","-","5.71","","6","F"
"Bangladesh","Inland waters","Freshwater","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","1596","","4185","","4534","","5751","","5394","","5504","","9471","","9559","","10200","","17123","","19609","","20810","","23240","","23377","","31245","","36567","","42558","","49634","","50156","","49499","","48770",""
