"Land Area","Ocean Area","Environment","Species","Scientific name","1990","S_1990","1991","S_1991","1992","S_1992","1993","S_1993","1994","S_1994","1995","S_1995","1996","S_1996","1997","S_1997","1998","S_1998","1999","S_1999","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Marshall Islands","Marine areas","Marine","Marine fishes","Marine fishes","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0",".","0.61","F","0.2",""
"Martinique","Inland waters","Brackishwater","Freshwater fishes","Freshwater fishes","10","","10","","25","","37","","25","","12","","3","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Martinique","Inland waters","Freshwater","Crustaceans","Crustaceans","49","","52","","38","","42","","40","","40","","35","","44","","25","","20","","19","","19","","19","","19","","9","","10","","10","","10","","6","","10","F","5","F","5","","5","F","5","F","7.5","","7","F"
"Martinique","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","26","","25","","25","","25","","40","","18","","10","","10","","10","","10","","8","","8","","8","","8","","12","","10","","10","","10","","4","","5","","5","","5","F","5","F","5","F","6","F","6","F"
"Martinique","Marine areas","Marine","Marine fishes","Marine fishes","2","","10","","15","","10","","12","","7","","10","","12","","20","","30","","24","","24","","53","","73","","89","","72","","83","","60","","71","","70","F","72","","40","","40","F","45","F","59","","36.1",""
"Mauritius","Inland waters","Freshwater","Crustaceans","Crustaceans","42","","47","","55","","42","","63","","53","","62","","44","","31","","32","","39","","23","","29","","11","","6","","8","","3","","5","","4","","4","","3","","3","","3","","3","","1","","0","."
"Mauritius","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","8","","10","","12","","18","","25","","55","","69","","60","","38","","44","","44","","30","","20","","16","","14","","15","","17","","12","","56","","98.6","","62.1","","71.1","","72","","75","","70","","2",""
"Mauritius","Marine areas","Marine","Crustaceans","Crustaceans","3","","5","","5","","4","","7","","8","","6","","3","","4","","3","","1","","2","","1","","2","","2","","2","","2","","1","","1","","1.2","","1","","1.2","","1","","1","","1","","1",""
"Mauritius","Marine areas","Marine","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","15","","7","","7","","2","","2","","2","","0","0","0","0","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Mauritius","Marine areas","Marine","Marine fishes","Marine fishes","16","","16","","18","","23","","28","","35","","16","","6","","4","","2","","1","","1","","2","","1","","326","","371","","418","","156","","182","","331.1","","499.4","","459","","433","","315","","703","","769",""
"Mauritius","Marine areas","Marine","Molluscs","Molluscs","9","","8","","10","","8","","12","","18","","10","","3","","4","","4","","2","","3","","4","","3","","2","","4","","3","","1","","2","","2.5","","2","","3","","3","","3","","3","","0","."
"Mayotte","Marine areas","Brackishwater","Freshwater fishes","Freshwater fishes","0","-","0","-","0","-","0","-","0","-","0","-","1","","2","F","2","F","2","F","3","F","3","F","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","."
"Mayotte","Marine areas","Marine","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","213","","170","","164","","140","F","128","","114","","126","","76","","44","","105","F","109.2","","120","","100","F"
"Mexico","Inland waters","Brackishwater","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","511","","952","","766","","876","","808","","0",".","0",".","0",".","0",".","0",".","0","."
"Mexico","Inland waters","Brackishwater","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","0",".","109","","23","","60","","145","","190","","153","","136","","125","","332","","200","","247","","1148","","1198","","543","","440","","394","","0",".","0",".","0.439","","3.869","","58","","26.83",""
"Mexico","Inland waters","Freshwater","Aquatic plants","Aquatic plants","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","5.76","","40",""
"Mexico","Inland waters","Freshwater","Crustaceans","Crustaceans","201","","139","","167","","175","","124","","92","","90","","112","","43","","46","","49","","50","","34","","37","","50","","155","","162","","58","","32","","27.641","","19","","82","","357","","6.106","","18","","21.13",""
"Mexico","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","780","","1300","","1300","","1300","","2412","","1310","","1053","","1410","","1517","","2272","","2520","","3309","","3444","","3449","","3734","","3832","","4001","","4300","","4832","","4875","","4932","","7709","","6892","","6208","","15400","","8387.85",""
"Mexico","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","13700","","14100","","14100","","13250","","14157","","5012","","13405","","17071","","13097","","14884","","15722","","21603","","21791","","32101","","31770","","28321","","27599","","17942","","17241","","19253","","10222","","12453","","28541","","32812.002","","68402.475","","56153.76",""
"Mexico","Inland waters","Freshwater","Marine fishes","Marine fishes","1000","","2000","","1000","","750","","309","","670","","360","","218","","216","","217","","250","","11","","2","","1","","1","","2","","3","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Mexico","Inland waters","Freshwater","Miscellaneous aquatic animals","Miscellaneous aquatic animals","80","","30","","30","","40","","15","","50","","63","","84","","62","","71","","75","","19","","76","","88","","91","","150","","156","","132","","131","","152","","51","","81","","72.18","","129.05","","289","","241.1",""
"Mexico","Marine areas","Brackishwater","Crustaceans","Crustaceans","4371","","5111","","8326","","11500","","13454","","15867","","13315","","17422","","23749","","29120","","31442","","46053","","43136","","42916","","57731","","4018","","3819","","3139","","4665","","4371","","5321","","2930","","3851","","60292.39","","4334","","3095.58",""
"Mexico","Marine areas","Brackishwater","Molluscs","Molluscs","0","-","0","-","0","-","0","-","91","","0","-","174","","0","-","0","-","0","-","968","","1103","","316","","809","","609","","3327","","2375","","9","","1162","","1200","","1036","","608","","2590","","2421.46","","9385.54","","2713.01",""
"Mexico","Marine areas","Marine","Aquatic plants","Aquatic plants","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","20",""
"Mexico","Marine areas","Marine","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","2039","","1961","","2717","","2941","","4630","","85479","","107724","","107882","","124660","","120599","","99291","","106886","","96469","","60292.39","","82638.9","","127265.41",""
"Mexico","Marine areas","Marine","Marine fishes","Marine fishes","0","-","0","-","0","-","0","-","8","","0","0","0","0","0","0","79","","35","","117","","521","","519","","519","","4195","","4535","","4735","","2867","","3009","","3070","","2016","","3562","","1822.021","","6965.177","","8702.629","","8100.074",""
"Mexico","Marine areas","Marine","Molluscs","Molluscs","2216","","2292","","1653","","1053","","988","","2556","","2819","","3038","","2115","","1645","","600","","1308","","1303","","1409","","1290","","1653","","1727","","2424.252","","2261.048","","2207","","3350","","2817","","3152","","2661.7","","4995.453","","5556.9",""
"Moldova, Republic of","Inland waters","Freshwater","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","10","F","10","F","10","F","10","F","10","F","10","F","10","F","20","F","20","F","20","F","20","F","20","F","20","F","20","F","20","F","20","F"
"Moldova, Republic of","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","80","F","80","F","100","F","100","F"
"Moldova, Republic of","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","7141","","5124","","2935","","2275","","1212","","1401","","1067","","1202","","1129","","815","","1700","","1699","","2325","","3398","","5640","F","6290","F","6790","F","7480","F","7780","F","8180","F","8780","F","8980","F","8980","F","8980","F","8964","","8960",""
"Montenegro","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","120","F","120","F","300","F","220","F","450","F","500","F","530","F","530","F","597","","503",""
"Montenegro","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","5","F","5","F","10","F","11","F","11","F","11","F","0",".","0",".","0",".","0","."
"Montenegro","Marine areas","Brackishwater","Diadromous fishes","Diadromous fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","9","F","9","F","9","F","9","F","9","F","9","F","0",".","0",".","0",".","0","."
"Montenegro","Marine areas","Marine","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","50","F","77","F","95","F","115","F","120","F","120","F","100","F","100","F","83","","121",""
"Montenegro","Marine areas","Marine","Molluscs","Molluscs","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","170","F","150","F","200","F","210","F","150","F","200","F","181","F","181","F","179","","189",""
"Morocco","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","20","","100","","150","","185","","100","","100","","93","","205","","140","","180","","80","","92","","103","","90","","88","","100","","100","","150","","150","","160","","210","","168","","180","","440","","450","","380",""
"Morocco","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","0","-","0","-","0","-","0","-","0","-","600","","750","","950","","1050","","1440","","925","","580","","520","","370","","655","","690","","770","","1045","","215","","225","","200","","170","","100","","100","","200","","200",""
"Morocco","Marine areas","Brackishwater","Diadromous fishes","Diadromous fishes","60","","35","","41","","68","","85","","55","","29","","21","","27","","28","","35","","28","","24","","24","","30","","27","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Morocco","Marine areas","Brackishwater","Molluscs","Molluscs","178","","223","","162","","113","","121","","171","","120","","257","","200","","210","","183","","156","","255","","222","","160","","243","","240","","362","","181","","198","","283.57","","215","","243.5","","278","","302","","289",""
"Morocco","Marine areas","Marine","Crustaceans","Crustaceans","0","-","0","-","35","","31","","7","","1","","0","0","0","0","0","-","0","-","0","-","0","-","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Morocco","Marine areas","Marine","Marine fishes","Marine fishes","157","","301","","353","","796","","1150","","1145","","1092","","867","","741","","927","","648","","547","","718","","782","","735","","1197","","51","","79","","29","","40","","36.77","","64","","169","","170","","237","","181",""
"Morocco","Marine areas","Marine","Molluscs","Molluscs","0","-","0","-","0","-","0","-","0","-","0","-","0","-","29","","3","","8","","18","","0","-","50","","50","","50","","0","-","0","-","0","-","4","","34","","11.78","","0","-","0","-","0","-","0",".","0","."
"Mozambique","Inland waters","Brackishwater","Freshwater fishes","Freshwater fishes","5","F","5","F","4","F","2","F","0","0","0","-","0","-","0","-","0","-","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0",".","0","."
"Mozambique","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","10","F","10","F","8","F","8","F","116","","36","","4","","0","0","0","0","0","0","0","0","0","0","77","","77","","17","","116","","53","","145","","90","","116","F","197","","284","","495","","581","","1029","","1133",""
"Mozambique","Marine areas","Marine","Aquatic plants","Aquatic plants","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0",".","0",".","0",".","1570","","5230","","920","","560","","150","","690","","700","","230","","0",".","0",".","0",".","0",".","0",".","0","."
"Mozambique","Marine areas","Marine","Crustaceans","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0",".","0",".","0",".","600","","332","","429","","1106","","995","","693","","602","","374","","667","","506","","39","","10","","0","-","0","-"
"Mozambique","Marine areas","Marine","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","6","","70","","130","","150","","0","-"
"Myanmar","Inland waters","Freshwater","Crustaceans","Crustaceans","3","","3","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0",".","0",".","0",".","120","F","200","F","500","F","1000","F","1477","","1500","F","2881","","2880.9","","2881","","4233","","4355","","872","","800","","2329",""
"Myanmar","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","7083","","8818","","25954","","51676","","64584","","70557","","69712","","80617","","79576","","86178","","93948","","115793","","183550","F","232789","F","370310","F","435580","F","524387","F","554857","F","614978","","694417.5","","769515.1","","756706","","822589","","869384","","901905.83","","941776.557",""
"Myanmar","Marine areas","Brackishwater","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","3712","","2788","","3121.8","","1516","","1648","","1744","","1600","","0","."
"Myanmar","Marine areas","Marine","Aquatic plants","Aquatic plants","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","288","","1200","","2094.1","","2336.4","","3200","","1600","","2100","","2324",""
"Myanmar","Marine areas","Marine","Crustaceans","Crustaceans","1","","1","","0",".","0",".","0",".","1143","","1796","","2123","","2392","","4936","","4964","","5473","","6450","F","19021","F","29550","F","48640","","49126","","48303","","52887","","50464","","47605","","52707","","54626","","53950","","42000","","52726.396",""
"Myanmar","Marine areas","Marine","Diadromous fishes","Diadromous fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","72","","60","","80","","80","","80","","85","","95","","461.04",""
"Myanmar","Marine areas","Marine","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","135","","45","","145","","140","","140","","140","","150","","13",""
"Myanmar","Marine areas","Marine","Miscellaneous aquatic animals","Miscellaneous aquatic animals","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","111","","27441","","27349","","1438","","1731","","3005","","15605","","0","."
"Namibia","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","4","F","4","F","5","F","5","F","5","F","5","F","5","F","10","F","10","F","15","","15","F","15","F","15","F","15","F","20","F","20","F","22","F","30","F","91","","95","F","125","F","65","F","65","F"
"Namibia","Marine areas","Marine","Aquatic plants","Aquatic plants","0","-","0","-","0","-","17","","17","","17","F","17","F","17","F","17","F","20","F","20","F","20","F","38","","67","","67","F","67","F","70","F","27","","132","","130","F","130","F","130","","130","F","130","F","130","F","130","F"
"Namibia","Marine areas","Marine","Molluscs","Molluscs","20","F","20","F","22","F","36","F","45","F","45","F","45","F","40","F","40","F","40","F","40","F","40","F","35","","60","F","110","F","110","F","188.5","F","313.5","F","453.6","F","513.6","F","515","F","342.75","","469","","423","","445","","450",""
"Nauru","Marine areas","Brackishwater","Diadromous fishes","Diadromous fishes","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0.4","","0","-","0","-","0","-","0","-","0.8","","0","-","0","-","0","-","0","-","0","-","1","F","0.1","","0.3","F","0.3","F"
"Nepal","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","50","","80","","80","","100","","140","","180","","180","","192","","250",""
"Nepal","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","9258","","10314","","10645","","9532","","9663","","9918","","10649","","11977","","12866","","13028","","15023","","16570","","17100","","17680","","20000","","22480","","25409","","26629","","27170","","26650","","28130","","30810","","34320","","35840","","43208","","47750",""
"Netherlands","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","750","","800","F","770","F","1450","","1687","","1735","","3050","","2501","","2691","","3267","","3739","","4029","","3911","","4300","","4550","","4050","","5050","","4050","","3750","","2900","","3050","","2100","","1850","","2935","","2385","","2350","F"
"Netherlands","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","500","F","500","F","500","F","900","","710","","1019","","1200","","1206","","1491","","1504","","2600","","1456","","2606","","3200","","3900","","4550","","5750","","5580","","4895","","4907","","3420","","1940","","1440","","3370","","3170","","3170","F"
"Netherlands","Inland waters","Freshwater","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","10","F","55","F","20","F","100","F","100","F","30","F","0",".","30","F"
"Netherlands","Marine areas","Brackishwater","Marine fishes","Marine fishes","0","-","0","-","0","-","0","-","0","-","12","","25","","25","","25","","0",".","0",".","0",".","0",".","75","","75","","75","","100","","90","","90","F","150","F","250","F","260","","180","","100","F","100","F","100","F"
"Netherlands","Marine areas","Marine","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","20","F","20","F","20","F","20","F","20","F","20","F"
"Netherlands","Marine areas","Marine","Miscellaneous aquatic animals","Miscellaneous aquatic animals","2","F","0","0","0","0","0","0","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0",".","0","."
"Netherlands","Marine areas","Marine","Molluscs","Molluscs","99745","","50348","","52835","","68775","","106982","","81172","","95596","","94478","","115887","","103989","","68892","","51557","","47912","","58965","","70073","","62695","","34653","","47121","","38150.7","","47628.6","","60185.1","","39379.9","","42539.4","","40070","","57364","F","57250","F"
"Netherlands Antilles","Marine areas","Marine","Molluscs","Molluscs","10","F","10","F","5","F","5","F","5","F","4","F","4","F","5","F","5","F","5","F","5","F","5","F","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-"
"New Caledonia","Inland waters","Freshwater","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","4","","6","","7","","9","","10","","9","","0","-","0","-","3","F","3","F","3","F","3","F","3","F","3","F","3","F","3","F"
"New Caledonia","Marine areas","Marine","Crustaceans","Crustaceans","540","","644","","733","","631","","691","","879","","992","","1107","","1569","","1820","","1730","","1837","","1844","","1705","","2211","","2440","","2278","","1843","","2036","","1860","","1156","","1539","","1643","","1573","","1636","","1252",""
"New Caledonia","Marine areas","Marine","Marine fishes","Marine fishes","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1","F"
"New Caledonia","Marine areas","Marine","Molluscs","Molluscs","91","","110","","114","","86","","89","","60","","69","","45","","27","","30","","31","","50","","67","","70","","69","","84","","87","","80","","67","","60","","64","","22","","20","F","20","F","20","F","0","."
"New Zealand","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","200","","250","","200","","200","","200","","200","","200","","150","","307","","300","","455","","637","","0",".","0",".","0",".","0",".","0",".","0","-","0","-","0","-","625","","675","","1203","","573","","1084","","1667",""
"New Zealand","Marine areas","Marine","Diadromous fishes","Diadromous fishes","2300","","2650","","2800","","3300","","3800","","4800","","6200","","4200","","5500","","5400","","5685","","7887","","6989","","4800","","5196","","7500","","7721","","9400","","9080","F","12392","","12280","","13362","","11194","","11415","","9756","","10807",""
"New Zealand","Marine areas","Marine","Molluscs","Molluscs","26100","","45800","","48500","","49001","","47256","","65391","","68400","","72500","","88000","","85950","","79500","","67500","","79594","","79841","","87024","","97802","","99803","","102508","","103278","","92566","","97687","","103229","","87764","","85135","","99033.85","","78801.3",""
"Nicaragua","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","4","","4","","4","","4","","4","","5","","52","","45","","15","","16","","24","","64","","0","-","0","-","0","-","350","","360","","436","","1388","","1581","","385","","26","","7","","39","","38","","30","F"
"Nicaragua","Marine areas","Brackishwater","Crustaceans","Crustaceans","70","F","53","","42","","322","","1064","","2305","","2452","","3269","","4536","","4147","","5357","","5629","","6028","","6935","","7880","","9633","","10860","","11097","","14690","","17362","","16587","","15740","","24344","","26367.9","","30528","","24530",""
"Nicaragua","Marine areas","Marine","Crustaceans","Crustaceans","0",".","17","","14","","0",".","0",".","0",".","0",".","172","","239","","42","","54","","57","","61","","70","","0","-","0","-","0","-","0","-","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","."
"Niger","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","36","","21","","8","","10","","17","","35","","11","","13","","12","","14","","15","","21","","40","","40","","40","","40","","40","","40","","40","","70","F","70","F","85","","100","","200","","329","","300","F"
"Nigeria","Inland waters","Brackishwater","Freshwater fishes","Freshwater fishes","438","","893","","3256","","3190","F","2600","F","2500","F","0",".","0",".","0",".","2","","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Nigeria","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","6621","","12753","","12820","","13000","F","11300","F","12989","F","19491","","24297","","20458","","21735","","25718","","24398","","30663","","30677","","43950","","56355","","84578","","85087","","143207","","152796","","200535","","221128","","253898","","278706","","313231","","316727",""
"Nigeria","Inland waters","Freshwater","Marine fishes","Marine fishes","0",".","0",".","20","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Nigeria","Marine areas","Brackishwater","Marine fishes","Marine fishes","288","","1512","","225","","200","F","230","F","230","F","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Nigeria","Marine areas","Marine","Marine fishes","Marine fishes","0",".","207","","767","","700","","900","F","900","F","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Northern Mariana Is.","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","1","F","1","F","1","F","1","F","0",".","0",".","1","F","1","F","1","F","1","F"
"Northern Mariana Is.","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","5","F","5","F","5","F","5","F","4.53","","4.53","","5","F","10","F","18","F","18","F"
"Northern Mariana Is.","Marine areas","Brackishwater","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","5","F","10","F","15","F","19.05","","20","F","20","F","20","F","23","F","23","F"
"Norway","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","66","","83","","85","","90","","83","","88","","73","","85.1","","103","","75.5","","85.77",""
"Norway","Marine areas","Marine","Aquatic plants","Aquatic plants","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","50.75",""
"Norway","Marine areas","Marine","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","15","","3","","21","","14","","30","","30","","11","","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Norway","Marine areas","Marine","Diadromous fishes","Diadromous fishes","149947","","160705","","130870","","164132","","217088","","276499","","320744","","366226","","409426","","474343","","489121","","508185","","546373","","578747","","627581","","645752","","693471","","821997","","823338","","937318.6","","994607","","1123616.49","","1306986.8","","1240053.1","","1327551.3","","1376525.98",""
"Norway","Marine areas","Marine","Marine fishes","Marine fishes","555","","0",".","232","","367","","856","","728","","588","","889","","1022","","819","","1310","","1618","","2345","","3841","","5404","","11155","","15070","","16777","","22879","","22709.9","","23105.94","","18277.21","","12046.6","","5345.7","","2854.5","","1454.32",""
"Norway","Marine areas","Marine","Molluscs","Molluscs","81","","0","0","0","0","0","0","542","","388","","184","","502","","309","","770","","898","","945","","2564","","1832","","3796","","4890","","3719","","2671","","2041","","1728.35","","2001","","1926.64","","2000.7","","2363.282","","2015.722","","2772.97",""
"Oman","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","1.4","","5","","0",".","0",".","0",".","0",".","0",".","1","","3","","3","","5.4","","20",""
"Oman","Marine areas","Brackishwater","Crustaceans","Crustaceans","0",".","0",".","0",".","0","-","0","-","0","-","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","-","0","-","0","-","86","","87","","118.4","","127","","156","","165","","350","","277","","150",""
"Oman","Marine areas","Brackishwater","Marine fishes","Marine fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","8","","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","."
"Oman","Marine areas","Marine","Marine fishes","Marine fishes","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","13","","0","-","0","-","0","-","0","-","344","","514","","213","","114","","10","F","34","","0","-","0","-","0","-","0","-","0","-","0","-","0","."
"Pakistan","Inland waters","Freshwater","Crustaceans","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","136","","139","","142","","149",""
"Pakistan","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","10000","","12754","","12566","","13351","","14622","","14800","","13500","","15400","","17300","","23000","","12400","","57632","","66898","","72978","F","76583","F","80546.97","F","121741","F","130000","F","135000","F","138000","F","140000","F","141830","","142588","","147869","","148124","","150906",""
"Pakistan","Marine areas","Marine","Crustaceans","Crustaceans","41","","41","","38","","38","","42","","48","","57","","64","","69","","76","","85","","0",".","72","","69","","70","F","75","","85","","92","","98","","99","","101","","105","","108","","112","","115","","119",""
"Palau","Marine areas","Brackishwater","Crustaceans","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0",".","0",".","0",".","0",".","1.1",""
